Species,m/z,SN
STEN,611,11
STEN,673,27
STEN,695,120
STEN,701,15
STEN,711,211
STEN,717,29
STEN,805,11
STEN,827,45
STEN,843,120
STEN,903,28
STEN,959,19
STEN,975,66
STEN,1035,13
STEN,1055,12
STEN,1093,34
STEN,1107,26
STEN,1187,17
STEN,1209,11
STEN,1225,63
STEN,1239,13
STEN,1263,13
SEY_A,673,25
SEY_A,695,174
SEY_A,701,13
SEY_A,711,250
SEY_A,717,19
SEY_A,755,11
SEY_A,771,19
SEY_A,805,16
SEY_A,827,97
SEY_A,843,224
SEY_A,887,19
SEY_A,903,41
SEY_A,959,59
SEY_A,975,130
SEY_A,1019,18
SEY_A,1035,50
SEY_A,1077,23
SEY_A,1091,13
SEY_A,1093,51
SEY_A,1107,25
SEY_A,1115,19
SEY_A,1131,17
SEY_A,1167,10
SEY_B,611,15
SEY_B,695,73
SEY_B,711,88
SEY_B,757,12
SEY_B,827,89
SEY_B,843,152
SEY_B,887,10
SEY_B,903,22
SEY_B,959,84
SEY_B,975,145
SEY_B,1091,21
SEY_B,1107,32
SEY_B,1239,13
SEY_C,611,13
SEY_C,695,43
SEY_C,711,50
SEY_C,827,16
SEY_C,843,32
SEY_C,975,14
SEY_C,1093,12
SEY_C,1225,17
SEY_D,611,10
SEY_D,673,20
SEY_D,695,131
SEY_D,711,185
SEY_D,717,18
SEY_D,827,57
SEY_D,843,112
SEY_D,959,20
SEY_D,975,48
SEY_D,1107,12
SEY_E,611,18
SEY_E,695,64
SEY_E,711,62
SEY_E,827,24
SEY_E,843,41
SEY_E,887,14
SEY_E,903,26
SEY_E,959,14
SEY_E,975,23
SEY_E,1077,16
SEY_E,1093,25
SEY_E,1209,32
SEY_E,1225,65
SEY_E,1247,15
SEY_E,1263,11
SEY_F,695,125
SEY_F,711,157
SEY_F,755,11
SEY_F,771,21
SEY_F,827,30
SEY_F,843,77
SEY_F,887,144
SEY_F,903,334
SEY_F,975,12
SEY_F,1019,139
SEY_F,1035,344
SEY_F,1065,19
SEY_F,1077,20
SEY_F,1093,41
SEY_F,1099,12
SEY_F,1115,53
SEY_F,1131,43
SEY_F,1151,44
SEY_F,1167,130
SEY_F,1181,11
SEY_F,1197,26
SEY_F,1209,29
SEY_F,1225,68
SEY_F,1231,19
SEY_F,1247,101
SEY_F,1263,87
SEY_F,1299,30
SEY_G,611,15
SEY_G,695,16
SEY_G,711,38
SEY_G,717,17
SEY_G,753,10
SEY_G,757,15
SEY_G,759,11
SEY_G,767,10
SEY_G,827,40
SEY_G,843,147
SEY_G,959,39
SEY_G,975,131
SEY_G,1091,12
SEY_G,1107,33
SEY_G,1239,24
SEY_H,611,13
SEY_H,695,32
SEY_H,701,12
SEY_H,711,46
SEY_H,717,16
SEY_H,827,76
SEY_H,843,187
SEY_H,959,110
SEY_H,975,212
SEY_H,1091,24
SEY_H,1107,43
SEY_H,1239,12
SEY_I,611,13
SEY_I,695,36
SEY_I,711,58
SEY_I,827,31
SEY_I,843,79
SEY_I,903,16
SEY_I,959,23
SEY_I,975,50
SEY_I,1035,13
ODO,667,10
ODO,673,11
ODO,711,20
ODO,829,18
ODO,867,6
ODO,903,12
ODO,931,15
ODO,961,16
ODO,1035,20
ODO,1077,11
ODO,1093,36
ODO,1181,11
ODO,1225,19
FER_A,601,99
FER_A,623,64
FER_A,629,21
FER_A,639,68
FER_A,645,10
FER_A,667,20
FER_A,689,11
FER_A,733,12
FER_A,755,18
FER_A,763,33
FER_A,771,21
FER_A,785,51
FER_A,791,226
FER_A,801,54
FER_A,813,141
FER_A,829,223
FER_A,867,44
FER_A,917,21
FER_A,923,134
FER_A,933,24
FER_A,945,87
FER_A,947,12
FER_A,961,145
FER_A,963,18
FER_A,965,11
FER_A,967,39
FER_A,983,62
FER_A,999,26
FER_A,1055,53
FER_A,1077,52
FER_A,1079,13
FER_A,1085,39
FER_A,1093,89
FER_A,1095,22
FER_A,1097,13
FER_A,1099,24
FER_A,1107,38
FER_A,1113,12
FER_A,1115,45
FER_A,1123,47
FER_A,1129,18
FER_A,1131,17
FER_A,1145,25
FER_A,1161,11
FER_A,1217,14
FER_A,1223,16
FER_A,1225,13
FER_A,1239,25
FER_A,1255,21
FER_A,1277,13
FER_B,605,23
FER_B,623,46
FER_B,635,40
FER_B,639,60
FER_B,653,11
FER_B,667,19
FER_B,669,20
FER_B,673,39
FER_B,685,17
FER_B,689,134
FER_B,695,24
FER_B,700,67
FER_B,705,92
FER_B,711,12
FER_B,716,14
FER_B,755,39
FER_B,763,12
FER_B,766,23
FER_B,771,56
FER_B,785,175
FER_B,796,24
FER_B,801,231
FER_B,813,47
FER_B,827,14
FER_B,829,75
FER_B,832,15
FER_B,867,197
FER_B,869,16
FER_B,917,94
FER_B,933,133
FER_B,947,101
FER_B,959,23
FER_B,963,153
FER_B,967,15
FER_B,975,15
FER_B,978,23
FER_B,983,39
FER_B,994,55
FER_B,999,23
FER_B,1010,12
FER_B,1079,24
FER_B,1091,12
FER_B,1095,41
FER_B,1099,12
FER_B,1107,28
FER_B,1109,12
FER_B,1115,41
FER_B,1123,24
FER_B,1125,29
FER_B,1129,42
FER_B,1131,21
FER_B,1145,123
FER_B,1161,60
FER_B,1223,22
FER_B,1239,26
FER_B,1257,10
FER_B,1261,11
FER_B,1277,34
FER_B,1293,15
VES,673,16
VES,695,39
VES,711,77
VES,805,20
VES,827,58
VES,843,131
VES,937,21
VES,959,66
VES,975,165
VES,1069,20
VES,1091,65
VES,1107,168
VES,1201,16
VES,1223,53
VES,1239,141
PEN_A,631,260
PEN_A,653,108
PEN_A,669,158
PEN_A,733,15
PEN_A,755,13
PEN_A,763,16
PEN_A,771,16
PEN_A,791,10
PEN_A,793,19
PEN_A,801,15
PEN_A,815,11
PEN_A,831,15
PEN_A,865,20
PEN_A,887,19
PEN_A,895,134
PEN_A,903,27
PEN_A,917,90
PEN_A,925,10
PEN_A,933,153
PEN_A,939,11
PEN_A,963,11
PEN_A,1027,295
PEN_A,1049,219
PEN_A,1057,96
PEN_A,1065,385
PEN_A,1069,11
PEN_A,1079,70
PEN_A,1095,117
PEN_A,1159,13
PEN_A,1181,11
PEN_A,1189,75
PEN_A,1197,18
PEN_A,1211,60
PEN_A,1219,18
PEN_A,1227,109
PEN_A,1241,15
PEN_A,1257,23
PEN_B,631,363
PEN_B,653,403
PEN_B,669,1346
PEN_B,755,16
PEN_B,763,13
PEN_B,766,21
PEN_B,771,53
PEN_B,782,25
PEN_B,785,25
PEN_B,791,13
PEN_B,793,15
PEN_B,801,107
PEN_B,807,22
PEN_B,813,15
PEN_B,815,39
PEN_B,829,12
PEN_B,831,146
PEN_B,887,13
PEN_B,895,75
PEN_B,898,23
PEN_B,903,43
PEN_B,914,33
PEN_B,917,242
PEN_B,928,24
PEN_B,933,868
PEN_B,939,21
PEN_B,944,43
PEN_B,947,23
PEN_B,963,74
PEN_B,969,21
PEN_B,975,11
PEN_B,993,10
PEN_B,1027,36
PEN_B,1049,145
PEN_B,1057,43
PEN_B,1065,579
PEN_B,1075,16
PEN_B,1078,12
PEN_B,1079,177
PEN_B,1093,16
PEN_B,1095,667
PEN_B,1125,11
PEN_B,1189,10
PEN_B,1197,21
PEN_B,1211,46
PEN_B,1227,194
PEN_B,1241,18
PEN_B,1257,68
MIC,609,57
MIC,621,13
MIC,623,14
MIC,639,45
MIC,651,10
MIC,653,13
MIC,669,47
MIC,697,11
MIC,705,12
MIC,711,22
MIC,733,11
MIC,755,40
MIC,771,154
MIC,801,26
MIC,843,42
MIC,887,35
MIC,895,12
MIC,903,162
MIC,917,37
MIC,933,167
MIC,959,10
MIC,961,20
MIC,975,58
MIC,991,10
MIC,1027,19
MIC,1035,12
MIC,1049,59
MIC,1065,277
MIC,1093,14
MIC,1095,23
MIC,1107,30
MIC,1123,14
MIC,1153,19
MIC,1181,10
MIC,1197,43
MIC,1227,40
MIC,1239,20
MIC,1255,11
MIC,1285,28
DEA_A,611,11
DEA_A,623,11
DEA_A,631,18
DEA_A,639,32
DEA_A,651,23
DEA_A,653,57
DEA_A,669,172
DEA_A,681,13
DEA_A,697,21
DEA_A,719,13
DEA_A,735,16
DEA_A,755,42
DEA_A,771,143
DEA_A,801,22
DEA_A,813,28
DEA_A,829,67
DEA_A,843,21
DEA_A,859,19
DEA_A,867,78
DEA_A,887,21
DEA_A,895,11
DEA_A,903,80
DEA_A,917,49
DEA_A,933,188
DEA_A,975,15
DEA_A,1021,19
DEA_A,1035,15
DEA_A,1049,36
DEA_A,1065,146
DEA_A,1095,16
DEA_A,1107,10
DEA_A,1167,17
DEA_A,1197,19
DEA_A,1227,14
DEA_A,1299,10
DEA_B,601,13
DEA_B,609,271
DEA_B,611,16
DEA_B,621,11
DEA_B,623,18
DEA_B,629,11
DEA_B,631,59
DEA_B,635,10
DEA_B,639,36
DEA_B,651,39
DEA_B,653,118
DEA_B,667,36
DEA_B,669,298
DEA_B,673,11
DEA_B,689,31
DEA_B,697,16
DEA_B,705,34
DEA_B,733,14
DEA_B,755,38
DEA_B,771,90
DEA_B,791,71
DEA_B,813,93
DEA_B,829,291
DEA_B,831,14
DEA_B,865,19
DEA_B,867,145
DEA_B,887,55
DEA_B,903,155
DEA_B,917,19
DEA_B,933,53
DEA_B,1019,11
DEA_B,1021,13
DEA_B,1035,30
DEA_B,1049,19
DEA_B,1065,54
DEA_B,1167,35
DEA_B,1299,11
DEC_A,639,22
DEC_A,673,22
DEC_A,681,12
DEC_A,695,32
DEC_A,697,32
DEC_A,705,11
DEC_A,711,128
DEC_A,719,17
DEC_A,735,27
DEC_A,771,37
DEC_A,791,10
DEC_A,805,20
DEC_A,813,26
DEC_A,827,38
DEC_A,829,72
DEC_A,843,153
DEC_A,867,59
DEC_A,903,12
DEC_A,923,11
DEC_A,933,13
DEC_A,937,14
DEC_A,945,38
DEC_A,947,11
DEC_A,959,33
DEC_A,961,113
DEC_A,967,12
DEC_A,975,136
DEC_A,983,62
DEC_A,999,89
DEC_A,1065,10
DEC_A,1077,28
DEC_A,1091,25
DEC_A,1093,88
DEC_A,1107,108
DEC_A,1115,55
DEC_A,1131,79
DEC_A,1223,17
DEC_A,1225,21
DEC_A,1239,80
DEC_A,1247,14
DEC_A,1263,19
DEC_B,601,17
DEC_B,605,12
DEC_B,609,132
DEC_B,619,11
DEC_B,623,19
DEC_B,635,12
DEC_B,639,14
DEC_B,651,14
DEC_B,653,131
DEC_B,669,101
DEC_B,681,16
DEC_B,689,13
DEC_B,719,12
DEC_B,755,59
DEC_B,771,40
DEC_B,813,35
DEC_B,829,34
DEC_B,867,36
DEC_B,887,65
DEC_B,903,47
DEC_B,917,72
DEC_B,933,58
DEC_B,1019,12
DEC_B,1049,48
DEC_B,1065,42
SEN_A,629,14
SEN_A,639,21
SEN_A,651,15
SEN_A,667,48
SEN_A,689,45
SEN_A,705,57
SEN_A,733,20
SEN_A,755,54
SEN_A,771,133
SEN_A,785,11
SEN_A,791,16
SEN_A,801,22
SEN_A,813,25
SEN_A,829,73
SEN_A,867,47
SEN_A,869,13
SEN_A,885,14
SEN_A,903,12
SEN_A,917,36
SEN_A,923,12
SEN_A,933,81
SEN_A,942,19
SEN_A,945,29
SEN_A,958,13
SEN_A,961,68
SEN_A,964,18
SEN_A,967,16
SEN_A,974,12
SEN_A,980,20
SEN_A,983,35
SEN_A,996,28
SEN_A,999,36
SEN_A,1047,18
SEN_A,1055,45
SEN_A,1077,125
SEN_A,1085,20
SEN_A,1093,302
SEN_A,1099,49
SEN_A,1104,17
SEN_A,1107,49
SEN_A,1115,203
SEN_A,1120,15
SEN_A,1123,110
SEN_A,1126,21
SEN_A,1129,23
SEN_A,1131,209
SEN_A,1133,19
SEN_A,1136,16
SEN_A,1142,13
SEN_A,1145,74
SEN_A,1161,69
SEN_A,1209,29
SEN_A,1217,53
SEN_A,1225,79
SEN_A,1239,146
SEN_A,1247,53
SEN_A,1255,356
SEN_A,1261,64
SEN_A,1263,53
SEN_A,1277,278
SEN_A,1293,273
SEN_B,601,13
SEN_B,605,12
SEN_B,623,11
SEN_B,629,19
SEN_B,639,13
SEN_B,667,13
SEN_B,689,13
SEN_B,733,33
SEN_B,755,76
SEN_B,763,15
SEN_B,771,99
SEN_B,785,26
SEN_B,791,66
SEN_B,801,32
SEN_B,813,31
SEN_B,829,63
SEN_B,865,12
SEN_B,867,20
SEN_B,887,43
SEN_B,895,22
SEN_B,903,59
SEN_B,917,76
SEN_B,923,11
SEN_B,933,112
SEN_B,942,11
SEN_B,958,13
SEN_B,961,17
SEN_B,965,14
SEN_B,967,13
SEN_B,983,10
SEN_B,1049,12
SEN_B,1055,107
SEN_B,1063,11
SEN_B,1065,14
SEN_B,1077,108
SEN_B,1079,30
SEN_B,1085,50
SEN_B,1093,206
SEN_B,1099,52
SEN_B,1107,33
SEN_B,1109,23
SEN_B,1115,116
SEN_B,1123,64
SEN_B,1129,23
SEN_B,1131,71
SEN_B,1145,38
SEN_B,1161,20
SEN_B,1181,11
SEN_B,1187,64
SEN_B,1197,14
SEN_B,1209,85
SEN_B,1217,40
SEN_B,1225,172
SEN_B,1231,29
SEN_B,1239,43
SEN_B,1247,98
SEN_B,1255,91
SEN_B,1261,20
SEN_B,1263,52
SEN_B,1277,54
SEN_B,1293,28
SEN_C,601,21
SEN_C,605,18
SEN_C,623,17
SEN_C,629,11
SEN_C,639,22
SEN_C,733,39
SEN_C,755,102
SEN_C,766,19
SEN_C,771,150
SEN_C,785,16
SEN_C,791,23
SEN_C,801,20
SEN_C,829,19
SEN_C,885,11
SEN_C,887,11
SEN_C,895,19
SEN_C,903,15
SEN_C,917,77
SEN_C,923,30
SEN_C,926,12
SEN_C,933,108
SEN_C,942,20
SEN_C,945,27
SEN_C,947,23
SEN_C,958,18
SEN_C,961,56
SEN_C,964,11
SEN_C,967,20
SEN_C,974,11
SEN_C,979,36
SEN_C,983,21
SEN_C,995,55
SEN_C,999,12
SEN_C,1031,11
SEN_C,1047,18
SEN_C,1055,103
SEN_C,1077,127
SEN_C,1085,49
SEN_C,1087,20
SEN_C,1093,243
SEN_C,1099,40
SEN_C,1103,27
SEN_C,1107,40
SEN_C,1109,22
SEN_C,1115,119
SEN_C,1120,18
SEN_C,1123,80
SEN_C,1125,19
SEN_C,1129,28
SEN_C,1131,70
SEN_C,1135,13
SEN_C,1145,33
SEN_C,1161,17
SEN_C,1187,16
SEN_C,1209,20
SEN_C,1217,116
SEN_C,1225,40
SEN_C,1239,131
SEN_C,1247,18
SEN_C,1255,265
SEN_C,1261,44
SEN_C,1277,143
SEN_C,1293,75
SEN_D,601,156
SEN_D,605,23
SEN_D,623,71
SEN_D,629,17
SEN_D,639,111
SEN_D,733,141
SEN_D,755,179
SEN_D,763,44
SEN_D,766,15
SEN_D,771,300
SEN_D,785,43
SEN_D,791,110
SEN_D,801,67
SEN_D,813,34
SEN_D,829,77
SEN_D,867,13
SEN_D,895,53
SEN_D,903,14
SEN_D,917,108
SEN_D,923,88
SEN_D,933,176
SEN_D,942,17
SEN_D,945,43
SEN_D,947,43
SEN_D,958,17
SEN_D,961,98
SEN_D,967,24
SEN_D,979,23
SEN_D,983,26
SEN_D,995,34
SEN_D,999,16
SEN_D,1047,14
SEN_D,1049,16
SEN_D,1055,194
SEN_D,1065,23
SEN_D,1077,161
SEN_D,1085,130
SEN_D,1087,14
SEN_D,1093,346
SEN_D,1099,34
SEN_D,1103,17
SEN_D,1107,69
SEN_D,1109,40
SEN_D,1115,112
SEN_D,1120,12
SEN_D,1123,140
SEN_D,1129,33
SEN_D,1131,71
SEN_D,1145,44
SEN_D,1161,24
SEN_D,1187,19
SEN_D,1197,20
SEN_D,1209,17
SEN_D,1211,24
SEN_D,1217,201
SEN_D,1225,36
SEN_D,1227,41
SEN_D,1239,161
SEN_D,1247,11
SEN_D,1255,343
SEN_D,1261,36
SEN_D,1277,126
SEN_D,1293,67
SEN_E,629,33
SEN_E,651,16
SEN_E,667,33
SEN_E,673,12
SEN_E,689,33
SEN_E,705,17
SEN_E,755,15
SEN_E,766,12
SEN_E,771,14
SEN_E,785,16
SEN_E,791,51
SEN_E,801,15
SEN_E,813,34
SEN_E,829,69
SEN_E,848,10
SEN_E,867,20
SEN_E,903,12
SEN_E,917,45
SEN_E,933,58
SEN_E,942,14
SEN_E,958,17
SEN_E,961,14
SEN_E,965,13
SEN_E,979,18
SEN_E,995,24
SEN_E,1055,70
SEN_E,1077,96
SEN_E,1085,79
SEN_E,1087,11
SEN_E,1093,169
SEN_E,1099,35
SEN_E,1103,11
SEN_E,1107,82
SEN_E,1109,27
SEN_E,1115,99
SEN_E,1123,146
SEN_E,1125,13
SEN_E,1129,40
SEN_E,1131,62
SEN_E,1145,97
SEN_E,1161,51
SEN_E,1187,30
SEN_E,1209,60
SEN_E,1217,58
SEN_E,1225,113
SEN_E,1231,20
SEN_E,1239,98
SEN_E,1247,70
SEN_E,1255,188
SEN_E,1261,45
SEN_E,1263,35
SEN_E,1277,133
SEN_E,1293,69
SEN_F,629,21
SEN_F,667,11
SEN_F,733,11
SEN_F,755,20
SEN_F,766,17
SEN_F,771,22
SEN_F,791,60
SEN_F,813,22
SEN_F,829,35
SEN_F,895,18
SEN_F,917,65
SEN_F,933,69
SEN_F,957,16
SEN_F,979,53
SEN_F,995,59
SEN_F,1031,18
SEN_F,1047,27
SEN_F,1055,92
SEN_F,1077,78
SEN_F,1085,108
SEN_F,1087,29
SEN_F,1093,124
SEN_F,1099,18
SEN_F,1103,27
SEN_F,1107,66
SEN_F,1109,50
SEN_F,1113,18
SEN_F,1115,37
SEN_F,1120,28
SEN_F,1123,102
SEN_F,1125,14
SEN_F,1129,42
SEN_F,1131,17
SEN_F,1136,16
SEN_F,1145,31
SEN_F,1161,12
SEN_F,1187,57
SEN_F,1209,57
SEN_F,1217,417
SEN_F,1225,87
SEN_F,1231,10
SEN_F,1239,376
SEN_F,1247,30
SEN_F,1255,602
SEN_F,1261,87
SEN_F,1277,247
SEN_F,1293,96
SEN_G,629,17
SEN_G,651,52
SEN_G,667,62
SEN_G,673,142
SEN_G,689,256
SEN_G,705,93
SEN_G,917,26
SEN_G,933,25
SEN_G,979,22
SEN_G,995,26
SEN_G,1031,21
SEN_G,1047,15
SEN_G,1077,42
SEN_G,1087,11
SEN_G,1093,56
SEN_G,1099,43
SEN_G,1103,10
SEN_G,1107,16
SEN_G,1109,24
SEN_G,1115,93
SEN_G,1120,13
SEN_G,1123,16
SEN_G,1125,45
SEN_G,1129,26
SEN_G,1131,42
SEN_G,1145,34
SEN_G,1161,12
SEN_G,1209,19
SEN_G,1217,23
SEN_G,1225,21
SEN_G,1231,20
SEN_G,1239,153
SEN_G,1247,42
SEN_G,1255,190
SEN_G,1261,229
SEN_G,1277,407
SEN_G,1293,150
SEN_H,629,55
SEN_H,651,36
SEN_H,667,59
SEN_H,673,56
SEN_H,689,158
SEN_H,705,94
SEN_H,829,11
SEN_H,917,14
SEN_H,933,16
SEN_H,979,18
SEN_H,993,12
SEN_H,995,28
SEN_H,1031,20
SEN_H,1047,21
SEN_H,1077,28
SEN_H,1085,37
SEN_H,1087,11
SEN_H,1093,44
SEN_H,1099,15
SEN_H,1103,14
SEN_H,1107,50
SEN_H,1109,18
SEN_H,1115,45
SEN_H,1119,11
SEN_H,1123,83
SEN_H,1125,52
SEN_H,1129,51
SEN_H,1131,29
SEN_H,1141,14
SEN_H,1145,122
SEN_H,1161,65
SEN_H,1209,11
SEN_H,1217,61
SEN_H,1225,15
SEN_H,1239,119
SEN_H,1247,19
SEN_H,1255,218
SEN_H,1261,119
SEN_H,1277,346
SEN_H,1293,183
POL,605,16
POL,623,35
POL,629,10
POL,635,11
POL,639,46
POL,651,29
POL,667,56
POL,669,12
POL,673,61
POL,689,182
POL,700,28
POL,705,140
POL,717,10
POL,755,27
POL,771,36
POL,785,72
POL,791,16
POL,801,103
POL,813,66
POL,829,118
POL,832,12
POL,835,88
POL,867,174
POL,869,23
POL,899,14
POL,915,11
POL,917,69
POL,929,11
POL,933,111
POL,945,23
POL,947,41
POL,948,15
POL,958,14
POL,961,38
POL,963,65
POL,964,40
POL,967,23
POL,978,14
POL,980,14
POL,983,61
POL,988,10
POL,994,38
POL,999,45
POL,1009,15
POL,1077,69
POL,1079,14
POL,1085,10
POL,1093,106
POL,1095,32
POL,1099,73
POL,1107,62
POL,1115,214
POL,1123,107
POL,1129,80
POL,1131,142
POL,1145,222
POL,1161,152
POL,1227,10
POL,1247,11
POL,1257,14
POL,1277,14
NIL,601,12
NIL,605,37
NIL,623,44
NIL,639,19
NIL,731,12
NIL,733,13
NIL,755,241
NIL,766,28
NIL,771,121
NIL,785,55
NIL,801,23
NIL,813,30
NIL,829,17
NIL,867,10
NIL,869,13
NIL,887,15
NIL,899,11
NIL,917,154
NIL,933,76
NIL,945,26
NIL,948,14
NIL,961,13
NIL,963,13
NIL,967,28
NIL,983,30
NIL,1077,83
NIL,1093,43
NIL,1099,117
NIL,1107,30
NIL,1109,25
NIL,1115,126
NIL,1123,15
NIL,1125,21
NIL,1129,50
NIL,1131,21
NIL,1145,47
NIL,1209,11
NIL,1231,14
NIL,1239,68
NIL,1247,14
NIL,1255,35
NIL,1261,130
NIL,1277,129
NIL,1293,19
